iter	Passed	Remaining
0	1	128
1	2	121
2	3	122
3	5	121
4	6	119
5	7	116
6	8	113
7	9	111
8	10	110
9	11	107
10	13	105
11	14	104
12	15	103
13	16	101
14	17	99
15	18	98
16	19	97
17	21	96
18	22	94
19	23	93
20	24	91
21	25	90
22	26	88
23	27	87
24	28	86
25	29	85
26	30	83
27	32	83
28	33	82
29	34	80
30	35	79
31	36	78
32	38	77
33	39	76
34	40	74
35	41	73
36	42	72
37	43	71
38	44	70
39	45	68
40	47	67
41	48	66
42	49	65
43	49	63
44	51	62
45	52	61
46	53	59
47	54	58
48	55	57
49	56	56
50	57	55
51	58	53
52	59	52
53	60	51
54	61	50
55	62	49
56	63	48
57	64	46
58	65	45
59	66	44
60	67	43
61	69	42
62	70	41
63	71	40
64	72	38
65	73	37
66	74	36
67	75	35
68	76	34
69	77	33
70	79	32
71	80	31
72	81	30
73	82	29
74	83	27
75	84	26
76	85	25
77	87	24
78	87	23
79	89	22
80	90	21
81	91	20
82	92	18
83	93	17
84	94	16
85	95	15
86	97	14
87	98	13
88	99	12
89	100	11
90	101	10
91	102	8
92	104	7
93	106	6
94	107	5
95	108	4
96	109	3
97	110	2
98	112	1
99	113	0
